CustomerID,Last date of purcharse,recency
14051,2011-12-09,0 days
18102,2011-12-09,0 days
12662,2011-12-09,0 days
14441,2011-12-09,0 days
17754,2011-12-09,0 days
15311,2011-12-09,0 days
14446,2011-12-09,0 days
12985,2011-12-09,0 days
15694,2011-12-09,0 days
16954,2011-12-09,0 days
16558,2011-12-09,0 days
17428,2011-12-09,0 days
15344,2011-12-09,0 days
17581,2011-12-09,0 days
12680,2011-12-09,0 days
16446,2011-12-09,0 days
12423,2011-12-09,0 days
13069,2011-12-09,0 days
12433,2011-12-09,0 days
16626,2011-12-09,0 days
13113,2011-12-09,0 days
12526,2011-12-09,0 days
12518,2011-12-09,0 days
13426,2011-12-09,0 days
17364,2011-12-09,0 days
15910,2011-12-09,0 days
16705,2011-12-09,0 days
17389,2011-12-09,0 days
17490,2011-12-09,0 days
12713,2011-12-09,0 days
13777,2011-12-09,0 days
17001,2011-12-09,0 days
15804,2011-12-09,0 days
12748,2011-12-09,0 days
14422,2011-12-09,0 days
14129,2011-12-08,1 days
17315,2011-12-08,1 days
14698,2011-12-08,1 days
16401,2011-12-08,1 days
17856,2011-12-08,1 days
13102,2011-12-08,1 days
16523,2011-12-08,1 days
14646,2011-12-08,1 days
15796,2011-12-08,1 days
16442,2011-12-08,1 days
17841,2011-12-08,1 days
13098,2011-12-08,1 days
17668,2011-12-08,1 days
17644,2011-12-08,1 days
14135,2011-12-08,1 days
13536,2011-12-08,1 days
13860,2011-12-08,1 days
13599,2011-12-08,1 days
14138,2011-12-08,1 days
17631,2011-12-08,1 days
16322,2011-12-08,1 days
13521,2011-12-08,1 days
16892,2011-12-08,1 days
13510,2011-12-08,1 days
16891,2011-12-08,1 days
13890,2011-12-08,1 days
14653,2011-12-08,1 days
13471,2011-12-08,1 days
13468,2011-12-08,1 days
14719,2011-12-08,1 days
15484,2011-12-08,1 days
18109,2011-12-08,1 days
13077,2011-12-08,1 days
17673,2011-12-08,1 days
12955,2011-12-08,1 days
15520,2011-12-08,1 days
14621,2011-12-08,1 days
17757,2011-12-08,1 days
17144,2011-12-08,1 days
14606,2011-12-08,1 days
15214,2011-12-08,1 days
13798,2011-12-08,1 days
15208,2011-12-08,1 days
13013,2011-12-08,1 days
13954,2011-12-08,1 days
15237,2011-12-08,1 days
12621,2011-12-08,1 days
13026,2011-12-08,1 days
13680,2011-12-08,1 days
15159,2011-12-08,1 days
14056,2011-12-08,1 days
16210,2011-12-08,1 days
17243,2011-12-08,1 days
15189,2011-12-08,1 days
15187,2011-12-08,1 days
16933,2011-12-08,1 days
14730,2011-12-08,1 days
16688,2011-12-08,1 days
17830,2011-12-08,1 days
17949,2011-12-08,1 days
13924,2011-12-08,1 days
14569,2011-12-08,1 days
17675,2011-12-08,1 days
14415,2011-12-08,1 days
17677,2011-12-08,1 days
13314,2011-12-08,1 days
16833,2011-12-08,1 days
14217,2011-12-08,1 days
17530,2011-12-08,1 days
17491,2011-12-08,1 days
15877,2011-12-08,1 days
14520,2011-12-08,1 days
12437,2011-12-08,1 days
15898,2011-12-08,1 days
15399,2011-12-08,1 days
18210,2011-12-08,1 days
16161,2011-12-08,1 days
13269,2011-12-08,1 days
13263,2011-12-08,1 days
17528,2011-12-08,1 days
17451,2011-12-08,1 days
14702,2011-12-08,1 days
17554,2011-12-08,1 days
13408,2011-12-08,1 days
13404,2011-12-08,1 days
17436,2011-12-08,1 days
16794,2011-12-08,1 days
14911,2011-12-08,1 days
16358,2011-12-08,1 days
15443,2011-12-08,1 days
14251,2011-12-08,1 days
17405,2011-12-08,1 days
14291,2011-12-08,1 days
13394,2011-12-08,1 days
13318,2011-12-08,1 days
14796,2011-12-08,1 days
17522,2011-12-08,1 days
13298,2011-12-08,1 days
12358,2011-12-08,1 days
14191,2011-12-08,1 days
15156,2011-12-08,1 days
13436,2011-12-08,1 days
15453,2011-12-08,1 days
13882,2011-12-07,2 days
16779,2011-12-07,2 days
12828,2011-12-07,2 days
17449,2011-12-07,2 days
17238,2011-12-07,2 days
12783,2011-12-07,2 days
12826,2011-12-07,2 days
16368,2011-12-07,2 days
